From,To,AvgDelay,Distance
SLC,DCA,143,4121
AUS,SEA,32,2038
OAK,IND,151,3456
MDW,LAS,69,1489
CVG,OAK,85,2454
JFK,HNL,85,2873
SFO,IAH,101,1635
DFW,LAS,115,5000
ORD,LAX,140,4655
DTW,DCA,24,1763
SLC,CLT,68,4776
SFO,JFK,113,4099
ATL,BOS,162,103
PHL,RDU,129,621
OAK,PHL,72,930
SLC,MIA,48,3086
FLL,PDX,21,2914
MIA,CMH,122,1074
LAX,BWI,108,3973
DFW,MCO,135,1262
IAH,PHL,95,3262
PDX,CMH,45,970
PDX,CLT,7,978
JFK,DFW,97,4019
SJC,STL,174,4468
FLL,TPA,144,2878
LAX,MIA,94,2272
MCO,PIT,109,2849
CMH,BWI,131,4113
PIT,MKE,99,658
IND,MKE,91,3593
IND,RDU,40,4108
MCO,SFO,131,1864
MSY,MSP,84,1163
HNL,DCA,159,2066
DFW,IAH,126,4304
MKE,SFO,24,807
PHX,LAX,133,1805
DFW,SFO,105,991
PIT,MDW,62,4250
OAK,MKE,66,3707
IND,BWI,97,2351
DTW,CLT,115,1712
DEN,IND,132,4323
SFO,LAX,135,1126
TPA,OAK,50,2420
TPA,DTW,20,2144
STL,AUS,44,3780
DEN,ORD,78,4120
BWI,IAH,106,2815
SJC,BOS,86,1448
SLC,STL,157,3572
MCO,SEA,10,900
DCA,LAS,128,1928
SLC,FLL,16,2292
CLT,SMF,168,3339
PHX,MCO,98,787
PDX,SFO,63,3843
AUS,CLE,159,3644
STL,PHL,109,3577
PHX,FLL,125,122
RDU,IAH,24,305
LAS,STL,29,2859
MIA,PDX,119,2964
MCO,DFW,72,406
PHL,CLT,97,4141
SMF,CLE,10,2219
MCO,IND,127,274
CLT,DFW,179,3058
TPA,RDU,62,4852
OAK,PDX,88,1486
CLT,SEA,45,769
DEN,MKE,177,2090
DFW,STL,51,2058
PHX,IAH,148,2631
LAX,CLE,32,1874
BOS,PHX,123,3577
ORD,SFO,140,2718
PHX,HNL,111,430
STL,PHX,82,3063
IND,MSY,145,4267
CVG,AUS,59,4261
CLT,SMF,142,2374
ATL,MDW,68,4735
AUS,RDU,100,3343
DTW,FLL,121,1135
DCA,MSP,94,1169
MDW,MKE,133,1053
ATL,AUS,164,812
CLT,IAH,156,299
SMF,CLE,125,4326
BOS,DTW,17,4013
SLC,CLE,146,1836
SFO,PHX,110,2287
SLC,MSP,15,2499
LAS,CLE,58,3575
ORD,AUS,122,153
RDU,ORD,28,2986
LAX,MDW,145,4505
HNL,SFO,131,540
LAS,MKE,150,3605
MSY,LAS,54,3545
SEA,DEN,110,742
SMF,DCA,176,849
BWI,SEA,64,1001
STL,DTW,8,1234
SLC,SAN,29,917
DEN,SJC,56,3872
AUS,ATL,91,4059
DTW,DCA,132,4541
MDW,BWI,69,4464
HNL,SMF,16,4251
DTW,STL,84,2384
MSY,CLE,92,1353
IND,MDW,48,2894
ORD,DTW,59,276
CLT,ATL,23,2342
MCO,SAN,95,4282
DTW,MKE,174,1369
CLT,MSY,131,1188
OAK,ATL,108,1465
BOS,FLL,33,2774
BOS,SJC,6,4059
BOS,LAS,140,4358
PHL,MIA,100,3095
DEN,AUS,104,4089
DEN,PIT,35,3524
DFW,PHX,69,3094
DEN,SEA,125,3990
IAH,MSP,28,613
LAX,IAH,38,2736
ATL,RDU,99,895
DCA,ORD,19,1140
SLC,ORD,145,4336
OAK,SJC,92,758
DCA,PIT,103,1711
PHL,MCO,154,2858
RDU,IAH,124,1124
DEN,OAK,68,2158
MIA,PHX,180,2340
PDX,ORD,102,1061
MKE,MSY,112,4995
ORD,PDX,80,4794
MKE,CMH,103,4416
RDU,PDX,53,1202
CMH,IAH,169,4960
FLL,DEN,132,3598
SAN,CVG,45,1155
IND,BWI,134,823
PHL,BOS,159,2080
ORD,PIT,26,2104
MSP,PIT,140,1303
SLC,AUS,89,2908
DEN,HNL,164,1657
DTW,LAX,16,3589
PIT,RDU,82,3693
ORD,MCO,75,4239
FLL,LAS,58,3090
DEN,STL,87,3894
MSY,SJC,140,1801
CLT,ATL,45,919
STL,DCA,9,1251
SAN,JFK,78,1371
IAH,DFW,143,3376
LAS,FLL,176,1425
FLL,MIA,155,876
SMF,LAX,69,2332
SLC,SMF,124,4722
IND,CLT,82,4987
LAS,CLT,49,3769
SLC,PHL,122,2139
LAX,PHX,23,2166
MIA,DFW,139,706
CLE,PDX,135,951
OAK,CLE,6,713
DFW,PHX,176,2056
LAX,CLT,146,2494
DEN,MCO,44,2034
ATL,BOS,133,290
STL,PHL,131,4406
ATL,SJC,8,999
PHL,CMH,85,350
SMF,SJC,142,197
JFK,DEN,124,4491
AUS,IND,130,901
MDW,DCA,59,1661
SAN,MSP,8,2172
MDW,SMF,70,354
SFO,CLE,37,2108
SAN,BWI,177,2436
BOS,MSP,50,4018
LAS,AUS,91,4254
CVG,RDU,86,2428
MSP,BWI,151,2365
SJC,DTW,46,263
IAH,DCA,54,3719
MDW,BWI,47,3704
FLL,AUS,150,199
BWI,PIT,137,4267
CVG,MSP,119,2556
CLE,DTW,106,1577
JFK,CLT,120,2932
DCA,MDW,152,4481
ATL,AUS,136,4483
PIT,CLE,155,3014
TPA,DCA,40,4966
BOS,RDU,74,597
DTW,BOS,96,2704
PDX,JFK,84,3928
MIA,MSY,107,2533
SLC,SMF,51,679
MIA,LAS,12,4441
LAX,CVG,105,3963
DCA,PDX,96,4624
CVG,CLT,133,4794
LAS,CVG,124,2383
PHL,RDU,31,2798
SMF,PIT,55,629
IAH,ATL,128,759
DTW,PHL,140,2216
DTW,RDU,69,1311
SEA,CLE,89,2743
CMH,LAS,125,4395
RDU,ORD,105,562
DTW,BWI,56,3736
FLL,SJC,16,2598
DTW,IND,175,1370
PDX,AUS,107,881
ORD,MCO,179,4834
SAN,ATL,101,282
LAS,MIA,38,2904
LAX,MKE,112,665
ATL,RDU,99,4838
ATL,OAK,27,1819
STL,TPA,177,2892
CLT,SJC,100,2401
MDW,SAN,17,1615
LAX,SAN,13,2825
SEA,SFO,36,1441
CLT,IAH,34,2414
STL,PHL,119,222
MCO,DCA,64,594
SEA,MDW,143,2560
SFO,SEA,56,654
STL,RDU,15,3525
PHL,LAS,43,920
DFW,HNL,132,2276
SEA,AUS,156,232
MCO,HNL,51,1753
PDX,BOS,65,3992
CLE,SEA,93,4537
ATL,PHX,33,4106
ATL,STL,165,4135
MCO,PHX,128,2245
IAH,CLT,8,4659
PHX,CVG,93,408
DTW,ORD,16,2737
OAK,SMF,156,307
JFK,BOS,58,1845
MCO,LAX,156,306
MSY,LAX,93,910
AUS,SMF,57,4497
ORD,STL,56,4048
CLT,PHL,118,1142
CLE,SEA,74,3366
MIA,OAK,80,4608
BWI,TPA,116,3357
DEN,BWI,141,2646
SEA,TPA,77,134
TPA,DEN,171,1479
BWI,SFO,155,1593
MKE,TPA,80,3667
ATL,DTW,49,2380
TPA,SFO,128,964
BOS,PHX,71,3192
MDW,LAS,99,2316
AUS,SFO,171,3664
BWI,LAX,162,504
MKE,IND,161,2251
PIT,DEN,81,4856
SJC,PIT,103,3116
SMF,LAS,97,2652
AUS,PIT,8,786
LAX,OAK,155,4829
JFK,SLC,91,3391
DFW,MSY,86,2206
DCA,FLL,165,3549
HNL,LAX,68,3860
CMH,RDU,97,4938
CMH,SMF,75,1330
SMF,DTW,158,2740
SLC,SAN,120,1154
DTW,JFK,58,2801
MSY,SLC,100,3851
MSP,MKE,42,3887
HNL,STL,148,108
SAN,PDX,57,2220
CLT,CMH,58,4509
DEN,MSY,19,2519
HNL,DFW,92,1862
SAN,ATL,105,4717
ORD,CMH,146,3104
MCO,PDX,155,1471
STL,CVG,19,3850
SFO,IAH,165,3326
DTW,JFK,128,1191
STL,ATL,142,3101
PIT,SJC,122,392
MKE,PHX,37,1447
DCA,SLC,8,2994
SLC,SJC,104,2894
DCA,LAX,138,4762
SAN,BWI,127,2626
STL,PDX,13,3398
FLL,SAN,94,3569
SFO,SEA,166,1860
PHX,IAH,105,803
CVG,ATL,42,3536
SJC,LAX,132,3896
SAN,SLC,26,1175
HNL,PDX,9,2528
SAN,SLC,26,4960
SAN,MIA,69,4579
DEN,MSY,111,574
SAN,MKE,87,4251
IAH,TPA,168,1454
DEN,SLC,24,3870
IAH,IND,161,3754
MCO,CLE,135,3396
HNL,OAK,71,3161
DFW,DCA,68,2604
IAH,SMF,117,434
IAH,PHX,125,1942
OAK,FLL,173,1929
MIA,OAK,161,1169
BWI,CLT,139,1353
IAH,DTW,28,3205
CMH,MKE,76,1290
CLE,DTW,99,2745
MDW,STL,27,1175
FLL,CMH,64,169
OAK,FLL,110,646
CVG,JFK,151,2031
CLE,AUS,150,3805
SLC,CMH,31,4818
SFO,BOS,75,4061
CVG,PIT,32,875
LAX,CLE,68,2179
SFO,SLC,62,1038
STL,DEN,43,1204
SFO,FLL,61,3126
JFK,RDU,119,2181
LAX,BOS,22,4039
PDX,CLT,42,4613
SJC,LAX,78,2723
HNL,OAK,19,4009
SMF,MSP,105,3394
ORD,AUS,86,4565
STL,BWI,150,4157
RDU,MSY,141,831
MKE,TPA,152,1021
LAS,PHL,153,4462
BWI,CVG,158,3926
CVG,PHX,173,2362
MDW,PHL,96,1934
MSP,SLC,58,2792
PIT,DCA,165,3997
SFO,IND,10,1397
MDW,PDX,13,3943
JFK,BWI,16,2410
MKE,DTW,63,4776
DFW,SFO,86,1785
ATL,SLC,149,4561
STL,PHL,91,1612
LAS,SJC,163,2778
MIA,MDW,16,3189
CVG,CLE,60,2437
RDU,OAK,107,4749
CMH,IAH,62,610
FLL,SAN,70,582
FLL,HNL,52,1472
PIT,CVG,122,401
BOS,MDW,47,689
DCA,TPA,79,410
CLE,STL,67,3839
FLL,MSY,64,2403
CMH,CLT,112,4989
DFW,CMH,158,3559
BWI,MSY,34,413
PDX,SEA,59,1120
PHL,PHX,17,4705
PIT,DCA,55,4893
CLT,MKE,99,1924
JFK,LAX,155,4106
DFW,BWI,162,2173
CVG,IND,52,5000
SMF,SFO,7,4520
CMH,SMF,37,4967
MDW,JFK,155,4839
IAH,DFW,105,596
BOS,CVG,120,3396
SMF,PHX,57,3849
LAS,DFW,156,4676
IND,SLC,178,1881
SMF,MKE,172,2711
MDW,MSY,162,172
SLC,MKE,45,1290
TPA,IAH,33,3667
OAK,AUS,70,725
SJC,MKE,130,1106
ATL,PDX,152,3738
ATL,SMF,168,2220
CMH,BOS,180,1046
ORD,TPA,89,698
BWI,SLC,58,3798
PHX,DCA,56,3983
IAH,MDW,108,4274
LAX,PIT,151,429
TPA,MKE,92,4084
PHL,LAX,97,989
SFO,MDW,50,1426
DTW,MSY,85,871
CLT,PHX,40,1811
DEN,JFK,157,1434
LAX,IAH,59,3512
ATL,MDW,18,2284
SMF,MSY,155,3057
CMH,MSY,163,3869
MIA,ORD,75,4952
DCA,OAK,11,4376
RDU,PIT,62,4622
LAS,JFK,87,3597
STL,OAK,43,4197
PHX,BWI,42,4138
PHX,MIA,94,2071
MDW,SMF,59,3239
OAK,RDU,5,1403
BOS,OAK,19,200
MSP,CMH,116,3629
BWI,IAH,29,206
IND,DEN,66,2523
BOS,RDU,114,4725
BWI,IND,149,1409
PDX,IND,88,3531
SMF,CMH,127,2389
MSY,MSP,94,1970
PDX,CLE,22,3475
OAK,BOS,69,1701
MIA,STL,34,4060
MKE,SJC,110,3832
MKE,JFK,91,267
LAX,SEA,49,1542
AUS,OAK,115,2541
CLT,SAN,45,2741
MSY,MCO,111,862
OAK,PDX,8,4303
MCO,PDX,64,143
CLE,LAS,82,4447
SJC,IND,23,2698
DFW,JFK,118,2563
PIT,DEN,7,432
TPA,MSP,122,4137
DFW,CLT,28,4634
DEN,AUS,35,318
DFW,ORD,94,3410
PDX,CLE,174,2597
RDU,ORD,115,2804
BOS,DFW,63,801
MDW,STL,170,3614
PHX,CVG,11,4398
CLE,TPA,112,3552
STL,DFW,16,3672
CLE,AUS,32,4531
SEA,DTW,21,4199
MKE,BOS,53,548
SAN,RDU,152,3652
SJC,ATL,56,396
LAX,MDW,91,4704
MSP,SMF,161,2839
IAH,PIT,47,4723
MSP,MCO,111,272
HNL,MSY,21,2480
MKE,PHL,124,4935
MIA,JFK,142,2296
SFO,SEA,88,4581
TPA,IND,32,4635
CVG,DFW,153,2383
FLL,BOS,151,955
AUS,ATL,166,2236
CLE,FLL,19,4887
CLE,AUS,83,4392
DEN,SAN,125,1736
CLE,OAK,12,418
IND,MCO,176,236
LAS,SJC,139,4407
LAS,MCO,99,1666
BWI,MDW,126,3699
SFO,MSY,36,3177
CLT,JFK,175,4255
TPA,MSP,11,4909
MSP,OAK,124,3477
SMF,IND,138,1377
MCO,SEA,91,735
CLE,DTW,141,998
ATL,PIT,177,4277
CMH,SFO,165,697
PHX,SJC,6,1043
MCO,PDX,28,3939
MSP,PHX,152,2898
FLL,IAH,10,3062
MIA,CMH,170,4973
SJC,FLL,65,3297
MKE,DFW,65,3085
IND,MKE,148,1270
SFO,PHL,137,875
SEA,CLT,172,4160
DFW,PHX,77,2726
DTW,MDW,122,366
SJC,PDX,66,2190
PDX,PHX,18,4212
SLC,HNL,111,3604
MSP,CMH,172,810
CMH,JFK,133,4707
BOS,DFW,29,882
DTW,PIT,87,1227
OAK,PHX,92,171
MCO,DEN,62,2017
DCA,LAS,91,156
PHX,PIT,9,614
SLC,SEA,112,1868
PDX,CLT,111,763
IAH,BWI,150,402
FLL,DFW,100,3441
ATL,SLC,96,3693
CVG,MSP,108,1962
CVG,BOS,106,4813
OAK,ATL,47,653
HNL,IAH,53,208
MCO,CMH,103,1416
CMH,MCO,109,4648
PHL,ORD,31,1683
ATL,SEA,41,275
RDU,AUS,147,2485
SEA,DFW,55,1928
PDX,JFK,17,2617
ATL,DCA,127,4005
IND,SFO,78,2901
DCA,SFO,29,4599
SMF,MSY,108,1896
LAX,MCO,46,2524
ORD,STL,96,2754
STL,LAX,152,1117
IAH,ATL,65,2504
SEA,OAK,43,1173
MIA,PIT,14,1494
CLT,MCO,128,4031
SEA,PDX,44,4535
CMH,PDX,52,1880
SAN,JFK,39,4601
FLL,BOS,136,3444
ATL,CLE,94,4060
HNL,AUS,141,4679
BWI,OAK,52,2711
MKE,FLL,39,2204
CMH,MSP,111,4729
STL,PHX,166,454
RDU,DTW,166,2363
MDW,MIA,147,4312
IND,STL,71,4241
SJC,MSY,93,2360
SJC,STL,98,2094
MSP,PDX,156,3649
CVG,IAH,48,910
ORD,IND,74,2611
SJC,DTW,173,688
OAK,MSP,163,3584
CLT,CVG,133,4112
CMH,MCO,100,3999
SLC,BWI,27,4669
DCA,HNL,92,3171
MSP,AUS,13,3917
TPA,MCO,92,106
DTW,PIT,22,3231
MCO,AUS,180,401
SFO,MDW,84,555
SFO,PHL,76,245
CLE,LAX,48,4033
HNL,OAK,119,1016
SJC,FLL,47,2054
HNL,MKE,129,3620
RDU,CLT,166,2286
PIT,SAN,45,4660
CLT,PDX,100,4227
CLT,BOS,84,573
SLC,IND,109,4842
PHL,BWI,57,2052
SLC,BOS,143,3212
IND,MDW,150,4838
DCA,DTW,23,3568
PHX,MSP,80,793
AUS,FLL,180,3504
SJC,MIA,39,2189
SMF,MIA,162,2267
MIA,AUS,163,1864
DFW,RDU,116,4607
ATL,CLE,78,4480
MIA,SMF,100,3882
SMF,FLL,148,4192
STL,MDW,151,1177
DCA,LAS,55,4395
SEA,IAH,22,1090
LAS,IAH,149,544
SFO,JFK,128,1976
SMF,SFO,180,2510
BWI,IAH,143,620
SEA,HNL,35,2905
MIA,LAX,69,2341
CLT,PDX,165,2349
BWI,ATL,163,4945
SLC,FLL,123,2164
HNL,OAK,112,3741
BWI,AUS,161,1922
IAH,ATL,59,1936
SAN,MKE,178,3069
SFO,SMF,132,2810
AUS,RDU,83,4698
MKE,LAX,7,2363
SEA,RDU,155,1906
SMF,PHL,177,3326
CLT,SAN,88,235
SEA,PIT,165,1416
MSY,RDU,32,612
OAK,MSP,165,655
SEA,PHL,42,3577
IND,JFK,43,2513
DTW,OAK,128,4947
CVG,STL,98,4067
OAK,SAN,169,4548
OAK,ATL,79,4487
RDU,CMH,111,1535
SLC,CLE,52,1692
IAH,DCA,18,2381
SMF,MKE,104,2146
DEN,RDU,45,1208
SJC,MSY,144,3815
AUS,ORD,167,4620
STL,ORD,23,3517
ATL,PHX,117,3518
DCA,SAN,22,2712
PDX,ATL,166,3459
BWI,CVG,104,2817
CLT,TPA,19,2182
CVG,STL,67,3272
SFO,JFK,168,2162
MKE,LAX,122,3792
IND,SLC,52,4629
MDW,SMF,25,378
MSP,ATL,80,2553
LAS,SAN,16,691
MKE,DCA,179,3099
MCO,RDU,9,4146
SJC,STL,67,3124
PIT,FLL,85,2142
IAH,FLL,171,2220
HNL,FLL,37,1616
RDU,DFW,132,1656
LAX,FLL,99,2169
DCA,IND,155,353
RDU,SAN,113,4248
TPA,DFW,118,4720
LAX,TPA,32,242
MDW,SMF,163,3148
STL,PHL,83,2140
PIT,TPA,93,3401
AUS,SMF,100,552
IAH,MIA,48,2140
JFK,SAN,114,4902
PHL,BWI,127,1733
CMH,STL,173,4340
PHX,JFK,159,4449
CVG,PHX,6,1580
STL,FLL,33,240
IND,ORD,159,2891
MKE,OAK,128,1795
SFO,SLC,101,4567
MKE,HNL,48,4650
PHX,DFW,19,3130
CLT,TPA,25,4202
JFK,RDU,23,3776
FLL,MSY,22,4529
BOS,ORD,175,3469
HNL,STL,81,4278
SLC,PIT,23,3767
PHX,IAH,123,1159
OAK,TPA,81,4120
JFK,SJC,97,2452
CLT,ORD,139,780
PDX,RDU,87,3937
OAK,SJC,159,3757
CMH,HNL,16,3204
DFW,PDX,138,2525
OAK,IAH,21,3536
RDU,PIT,157,1193
PHL,DCA,45,178
MKE,LAS,90,3189
CVG,JFK,29,2299
SMF,PIT,108,2568
CVG,IND,67,3477
CLT,PHL,111,1983
RDU,MIA,49,3857
JFK,ORD,75,2339
PDX,PHX,51,1641
MCO,JFK,69,3751
MSP,MDW,72,4171
PIT,MDW,33,3109
MCO,PHX,66,3429
OAK,RDU,60,3068
AUS,LAS,53,1840
FLL,ATL,14,2592
STL,JFK,31,3295
DEN,LAX,104,3987
MSP,PHX,169,1414
IND,SEA,163,4704
MKE,PIT,99,1161
BOS,AUS,101,2745
ORD,PHL,79,1040
SFO,BWI,109,4302
SJC,CVG,65,210
BOS,CVG,119,3459
DTW,CVG,48,4671
STL,PIT,11,4680
LAX,LAS,34,4140
SJC,PHX,9,2886
DFW,JFK,169,603
CLT,SAN,33,1223
LAS,PIT,61,3079
DCA,CVG,56,2607
CLE,SAN,166,4815
PHX,ORD,161,3141
STL,CVG,80,1730
TPA,SLC,24,1333
DTW,SMF,23,351
STL,FLL,114,1532
LAS,JFK,22,3076
PIT,AUS,17,1810
LAS,MDW,73,3381
PHL,DCA,56,2606
AUS,CVG,128,3174
OAK,IAH,106,3170
OAK,SEA,74,3604
CVG,PHX,174,1796
SEA,AUS,120,3398
IND,JFK,148,1143
DTW,JFK,83,2421
DEN,LAX,176,317
CMH,OAK,58,1542
JFK,AUS,28,4610
MDW,RDU,128,4788
MCO,LAS,101,4066
PHL,MDW,129,3784
HNL,PDX,87,1691
MKE,SLC,11,1550
IAH,CVG,53,3733
IND,LAX,86,3150
BOS,CLT,67,3916
BOS,IAH,143,4836
DFW,STL,73,4984
ORD,SAN,145,1845
MSY,PIT,80,2960
PHX,RDU,132,4531
SAN,DCA,59,4459
PDX,LAS,10,4503
RDU,CLT,98,4898
MKE,MDW,136,800
BOS,SMF,157,4894
TPA,MSY,155,2886
DTW,JFK,16,4352
MDW,MCO,22,4548
STL,PIT,5,1517
DFW,SLC,39,1944
SEA,SJC,43,3633
PHX,PHL,90,326
DTW,HNL,99,3354
SAN,DTW,14,2725
MDW,IAH,171,2182
JFK,PDX,164,1682
DFW,RDU,104,3342
BOS,STL,44,2025
ATL,STL,141,4794
BWI,DFW,166,284
SAN,MKE,119,2206
PHX,STL,162,907
ATL,ORD,6,4206
IND,LAS,101,346
SEA,PDX,83,1912
SMF,MDW,115,3852
PDX,BWI,65,3021
DFW,PHX,178,4370
LAS,CLT,176,390
RDU,BWI,140,892
RDU,IND,78,3324
TPA,JFK,9,4019
PIT,BOS,45,872
BWI,SEA,174,1191
AUS,CMH,134,2105
MDW,AUS,49,4852
SLC,AUS,52,347
PDX,MSY,39,1578
ATL,SAN,94,2159
HNL,AUS,6,1352
MKE,SFO,149,4360
SAN,CMH,61,1991
ORD,MDW,106,2675
CLE,SJC,85,2443
MKE,ORD,105,3845
CVG,RDU,40,1502
DEN,IAH,73,142
MIA,SEA,70,1294
CVG,CMH,40,3362
DEN,MCO,127,4059
LAX,CLT,149,589
CMH,DTW,37,1783
PHX,SAN,134,3839
SLC,PHL,177,3302
MCO,SEA,23,1617
IAH,OAK,125,123
RDU,SJC,110,587
SLC,CLT,41,2678
RDU,CLE,141,4307
MCO,LAS,35,1989
CMH,SMF,94,2177
STL,JFK,20,1619
BWI,HNL,77,343
CMH,MIA,151,864
STL,SEA,8,787
SEA,SAN,20,4144
CVG,FLL,124,308
LAS,DCA,144,4075
IAH,BWI,96,298
IND,AUS,112,4498
PHX,MCO,69,3328
RDU,MDW,55,4660
MIA,PDX,145,3272
CLE,PHL,156,1708
SAN,SEA,136,2659
MSP,CMH,160,4764
MCO,ORD,159,3618
SLC,MDW,150,2621
CVG,MDW,44,4585
STL,PDX,161,4469
IND,LAX,34,2777
AUS,DCA,108,646
LAX,RDU,87,1609
DFW,DTW,174,3847
ATL,PDX,100,3061
ATL,SEA,114,2851
CLE,TPA,121,2764
ORD,BWI,128,3461
CLE,IAH,54,4862
CLE,DEN,16,3528
DEN,STL,80,2135
AUS,DEN,152,4712
CLT,ORD,172,4619
PHL,PDX,92,494
DEN,LAS,177,3821
PHX,ATL,57,127
LAX,HNL,71,3825
BWI,PHL,128,1913
HNL,MCO,90,320
BOS,DEN,159,2424
MCO,MSY,46,3977
CVG,DFW,80,3673
FLL,JFK,161,876
CVG,HNL,144,156
DFW,SLC,99,2576
STL,LAS,95,2956
SLC,CVG,30,3104
CLT,ATL,72,4661
DTW,HNL,50,3074
PIT,MDW,110,1669
PHX,CLT,69,1181
DCA,BWI,102,1296
HNL,LAS,43,2242
JFK,ATL,60,3017
MSY,DTW,99,820
OAK,JFK,110,4205
ATL,CLT,78,235
JFK,MSY,27,4890
CMH,MCO,132,2190
SEA,MIA,101,948
PHX,PIT,111,3915
STL,DEN,32,2331
AUS,DCA,84,4426
PHX,PHL,133,879
PHX,BWI,45,2312
PHL,MIA,91,4626
ORD,MIA,49,952
CLT,SFO,52,1390
BWI,PHX,132,1133
MCO,SLC,125,203
HNL,MSY,94,917
DCA,PIT,164,861
BOS,JFK,58,4166
LAX,DCA,91,3141
JFK,MSP,112,3053
RDU,PHX,16,1028
PHL,DTW,171,1160
BOS,LAS,38,2511
ORD,DCA,124,353
PDX,JFK,103,3721
PDX,DCA,96,3702
CMH,DCA,120,4854
CVG,BOS,109,309
LAX,CLE,70,429
PIT,PHL,71,3124
PHL,IND,141,1511
RDU,FLL,56,788
HNL,JFK,39,3683
CLE,PDX,146,3542
CVG,IAH,16,3568
SLC,RDU,163,3040
LAS,STL,158,4013
IND,DFW,175,3202
MSY,JFK,97,1723
IND,TPA,105,1351
IND,SEA,122,4425
BOS,PIT,134,2964
DFW,HNL,56,2566
RDU,PHX,35,2669
MSP,PIT,45,1592
MSY,BOS,124,3660
SEA,MKE,114,1913
SAN,DFW,24,944
HNL,MSP,33,3587
ATL,CMH,150,1196
TPA,MDW,36,2287
FLL,CVG,13,725
DTW,STL,21,2432
PHX,STL,130,179
MSY,CLT,128,978
IND,MIA,54,2710
CLE,DEN,162,1748
MCO,IAH,119,3611
SMF,PHL,71,4903
PHL,BOS,89,3104
FLL,SFO,46,2645
DCA,CMH,117,797
ORD,SEA,69,4900
TPA,DEN,47,1910
MSP,ORD,114,1199
CMH,SEA,62,3627
PIT,IND,178,498
OAK,IND,45,4027
CVG,SJC,107,4031
RDU,PHX,140,1262
BWI,BOS,170,221
LAX,CLE,159,2374
SEA,PDX,83,2317
LAX,SFO,80,3293
SLC,HNL,106,4467
RDU,PDX,137,1209
DTW,PHX,51,1272
JFK,HNL,19,1324
ATL,BWI,61,4965
ATL,PDX,107,1672
SEA,SJC,93,1404
RDU,HNL,70,384
IAH,MCO,25,3358
MSP,SLC,132,3635
PHL,JFK,156,1501
TPA,SEA,90,1008
CVG,PHX,159,3859
SAN,ORD,71,1919
RDU,DCA,178,4584
SMF,FLL,12,519
ATL,MSY,173,2753
MDW,AUS,98,1346
TPA,MKE,103,3885
BWI,LAX,76,348
FLL,CLT,49,3474
JFK,DTW,82,1889
PHX,BOS,39,3114
SEA,SAN,53,3613
CMH,MCO,139,1206
PHL,SEA,61,1556
PHX,CLE,150,3049
DTW,MKE,40,4073
IND,MSY,163,4024
TPA,FLL,111,104
SAN,MSY,98,4070
MSP,DFW,65,3228
LAS,MKE,59,3263
JFK,OAK,32,1103
CLE,MDW,156,4800
CLE,RDU,39,2782
LAS,DCA,25,1934
DCA,DEN,144,127
SEA,MCO,63,2259
CLT,MKE,125,741
IND,FLL,6,2510
CLE,DEN,174,4940
MSY,LAS,157,1742
SJC,LAS,161,1146
MSP,AUS,56,1715
JFK,ATL,87,4228
SJC,MDW,37,2316
ORD,PIT,15,431
CLT,DEN,167,2953
MDW,BWI,81,3406
CLE,DFW,76,3252
PHX,SLC,109,245
IAH,MSY,73,2751
IND,JFK,91,3504
PHX,ORD,5,1073
PHL,SMF,144,3539
TPA,OAK,92,951
PHX,DTW,113,749
SAN,MSP,120,3902
IND,MDW,101,4807
DEN,SEA,29,268
SMF,STL,42,1829
ORD,OAK,180,1972
DEN,JFK,113,1104
PDX,HNL,101,3417
SFO,RDU,112,3192
FLL,ORD,93,1517
BOS,MIA,81,2217
MCO,CLT,179,4983
SMF,RDU,141,4896
MDW,SLC,168,2105
HNL,OAK,50,2994
HNL,FLL,103,1361
MKE,HNL,156,4042
SEA,IND,76,4260
RDU,PHX,50,4480
ORD,SJC,137,2613
MIA,PIT,30,664
IND,TPA,123,4798
CLT,BOS,47,2600
SMF,SLC,78,250
CVG,PDX,118,1137
SLC,CMH,118,1671
ATL,SFO,148,1863
MDW,STL,89,4601
SLC,LAX,49,720
MKE,STL,20,862
PHX,MIA,90,3012
MDW,SLC,75,3323
SJC,STL,39,830
CLT,CMH,64,578
ORD,MDW,169,323
MDW,LAX,99,4337
DEN,DCA,32,4593
RDU,SLC,145,2596
OAK,MIA,166,2916
MCO,JFK,68,3757
SFO,JFK,122,4365
DFW,SFO,70,4481
JFK,MIA,106,2876
SLC,MCO,101,4267
CLT,SJC,178,101
CLT,MSY,87,3361
MKE,BWI,12,2583
JFK,MKE,114,115
STL,DEN,91,869
JFK,ATL,38,4801
DTW,SEA,11,3966
ORD,PHX,57,3560
MKE,IAH,21,4599
MKE,MDW,139,4075
MSP,ATL,132,1755
JFK,LAX,49,345
ORD,SEA,14,626
MIA,DEN,179,912
SEA,LAX,6,3449
RDU,PDX,130,3010
HNL,CMH,85,1391
SJC,IAH,134,266
RDU,PHL,55,2864
AUS,DEN,11,1507
RDU,IAH,48,2083
CVG,SEA,67,2032
AUS,CMH,45,2246
RDU,ORD,110,239
SMF,HNL,128,1154
DFW,OAK,170,2942
HNL,TPA,42,2830
PIT,IND,15,1491
PIT,DFW,178,3152
STL,SAN,46,1008
PIT,PDX,90,4607
MCO,PIT,20,1988
PIT,PHX,69,1951
TPA,CLE,67,1558
SMF,CVG,106,2944
SLC,MSP,55,1484
TPA,DTW,42,104
BOS,CLE,112,4510
BWI,SFO,155,3461
MSP,STL,9,2339
SLC,PHX,86,2177
